"date" "mburnt_area"
"1982-1" 122129.03125
"1982-2" 23500
"1982-3" 2100
"1982-4" 0
"1982-5" 500
"1982-6" 0
"1982-7" 0
"1982-8" 0
"1982-9" 0
"1982-10" 0
"1982-11" 100
"1982-12" 85800
"1983-1" 106258.0625
"1983-2" 20500
"1983-3" 1800
"1983-4" 0
"1983-5" 400
"1983-6" 0
"1983-7" 0
"1983-8" 0
"1983-9" 0
"1983-10" 0
"1983-11" 100
"1983-12" 74600
"1984-1" 106258.0625
"1984-2" 20500
"1984-3" 1800
"1984-4" 0
"1984-5" 400
"1984-6" 0
"1984-7" 0
"1984-8" 0
"1984-9" 0
"1984-10" 0
"1984-11" 100
"1984-12" 74600
"1985-1" 144580.640625
"1985-2" 27900
"1985-3" 2400
"1985-4" 0
"1985-5" 600
"1985-6" 0
"1985-7" 0
"1985-8" 0
"1985-9" 0
"1985-10" 0
"1985-11" 100
"1985-12" 282545.90625
"1986-1" 128129.03125
"1986-2" 24700
"1986-3" 2200
"1986-4" 0
"1986-5" 500
"1986-6" 0
"1986-7" 0
"1986-8" 0
"1986-9" 0
"1986-10" 0
"1986-11" 100
"1986-12" 90000
"1987-1" 144580.640625
"1987-2" 27900
"1987-3" 2400
"1987-4" 0
"1987-5" 600
"1987-6" 0
"1987-7" 0
"1987-8" 0
"1987-9" 0
"1987-10" 0
"1987-11" 100
"1987-12" 282240.6875
"1988-1" 144870.96875
"1988-2" 27900
"1988-3" 2500
"1988-4" 0
"1988-5" 600
"1988-6" 0
"1988-7" 0
"1988-8" 0
"1988-9" 0
"1988-10" 0
"1988-11" 100
"1988-12" 281328.28125
"1989-1" 90193.546875
"1989-2" 17400
"1989-3" 1500
"1989-4" 0
"1989-5" 400
"1989-6" 0
"1989-7" 0
"1989-8" 0
"1989-9" 0
"1989-10" 0
"1989-11" 100
"1989-12" 63400
"1990-1" 143129.03125
"1990-2" 27600
"1990-3" 2400
"1990-4" 0
"1990-5" 600
"1990-6" 0
"1990-7" 0
"1990-8" 0
"1990-9" 0
"1990-10" 0
"1990-11" 100
"1990-12" 278847.875
"1991-1" 122129.03125
"1991-2" 23500
"1991-3" 2100
"1991-4" 0
"1991-5" 451.612915039062
"1991-6" 0
"1991-7" 0
"1991-8" 0
"1991-9" 0
"1991-10" 0
"1991-11" 100
"1991-12" 85800
"1992-1" 115258.0625
"1992-2" 22200
"1992-3" 2000
"1992-4" 0
"1992-5" 500
"1992-6" 0
"1992-7" 0
"1992-8" 0
"1992-9" 0
"1992-10" 0
"1992-11" 100
"1992-12" 81000
"1993-1" 90193.546875
"1993-2" 17400
"1993-3" 1500
"1993-4" 0
"1993-5" 400
"1993-6" 0
"1993-7" 0
"1993-8" 0
"1993-9" 0
"1993-10" 0
"1993-11" 100
"1993-12" 63400
"1994-1" 90193.546875
"1994-2" 17400
"1994-3" 1500
"1994-4" 0
"1994-5" 335.483856201172
"1994-6" 0
"1994-7" 0
"1994-8" 0
"1994-9" 0
"1994-10" 0
"1994-11" 100
"1994-12" 63400
"1995-1" 122129.03125
"1995-2" 23500
"1995-3" 2100
"1995-4" 0
"1995-5" 500
"1995-6" 0
"1995-7" 0
"1995-8" 0
"1995-9" 0
"1995-10" 0
"1995-11" 100
"1995-12" 85800
"1996-1" 138290.328125
"1996-2" 25000
"1996-3" 300
"1996-4" 0
"1996-5" 0
"1996-6" 0
"1996-7" 0
"1996-8" 0
"1996-9" 0
"1996-10" 0
"1996-11" 100
"1996-12" 38800
"1997-1" 143225.8125
"1997-2" 30300
"1997-3" 300
"1997-4" 0
"1997-5" 0
"1997-6" 0
"1997-7" 0
"1997-8" 0
"1997-9" 0
"1997-10" 0
"1997-11" 100
"1997-12" 71100
"1998-1" 113225.8046875
"1998-2" 30300
"1998-3" 300
"1998-4" 0
"1998-5" 0
"1998-6" 0
"1998-7" 0
"1998-8" 0
"1998-9" 0
"1998-10" 0
"1998-11" 100
"1998-12" 111200
"1999-1" 98516.1328125
"1999-2" 23400
"1999-3" 9700
"1999-4" 0
"1999-5" 7951.61279296875
"1999-6" 0
"1999-7" 0
"1999-8" 0
"1999-9" 0
"1999-10" 0
"1999-11" 100
"1999-12" 94700
"2000-1" 137516.125
"2000-2" 33900
"2000-3" 22400
"2000-4" 0
"2000-5" 0
"2000-6" 0
"2000-7" 0
"2000-8" 0
"2000-9" 0
"2000-10" 0
"2000-11" 0
"2000-12" 270480.625
"2001-1" 115645.1640625
"2001-2" 25800
"2001-3" 0
"2001-4" 0
"2001-5" 0
"2001-6" 0
"2001-7" 0
"2001-8" 0
"2001-9" 0
"2001-10" 0
"2001-11" 300
"2001-12" 106100
"2002-1" 155322.578125
"2002-2" 8900
"2002-3" 3200
"2002-4" 500
"2002-5" 0
"2002-6" 0
"2002-7" 0
"2002-8" 0
"2002-9" 0
"2002-10" 0
"2002-11" 0
"2002-12" 2900
"2003-1" 145064.515625
"2003-2" 107400
"2003-3" 0
"2003-4" 0
"2003-5" 0
"2003-6" 0
"2003-7" 0
"2003-8" 0
"2003-9" 0
"2003-10" 0
"2003-11" 0
"2003-12" 264807.90625
"2004-1" 161612.90625
"2004-2" 59000
"2004-3" 0
"2004-4" 0
"2004-5" 0
"2004-6" 0
"2004-7" 0
"2004-8" 0
"2004-9" 0
"2004-10" 0
"2004-11" 600
"2004-12" 264898.75
"2005-1" 197903.21875
"2005-2" 18100
"2005-3" 0
"2005-4" 0
"2005-5" 0
"2005-6" 0
"2005-7" 0
"2005-8" 0
"2005-9" 0
"2005-10" 0
"2005-11" 100
"2005-12" 266765.71875
"2006-1" 127258.0625
"2006-2" 6200
"2006-3" 0
"2006-4" 0
"2006-5" 0
"2006-6" 0
"2006-7" 0
"2006-8" 0
"2006-9" 0
"2006-10" 0
"2006-11" 0
"2006-12" 88600
"2007-1" 123000
"2007-2" 36600
"2007-3" 0
"2007-4" 0
"2007-5" 0
"2007-6" 0
"2007-7" 0
"2007-8" 0
"2007-9" 0
"2007-10" 0
"2007-11" 0
"2007-12" 266830.25
"2008-1" 124161.2890625
"2008-2" 400
"2008-3" 0
"2008-4" 0
"2008-5" 0
"2008-6" 0
"2008-7" 0
"2008-8" 0
"2008-9" 0
"2008-10" 0
"2008-11" 500
"2008-12" 130600
"2009-1" 138193.546875
"2009-2" 1900
"2009-3" 0
"2009-4" 0
"2009-5" 0
"2009-6" 0
"2009-7" 0
"2009-8" 0
"2009-9" 0
"2009-10" 0
"2009-11" 0
"2009-12" 80100
"2010-1" 138096.78125
"2010-2" 10300
"2010-3" 300
"2010-4" 0
"2010-5" 0
"2010-6" 0
"2010-7" 0
"2010-8" 0
"2010-9" 0
"2010-10" 0
"2010-11" 0
"2010-12" 266543.15625
"2011-1" 92145.1640625
"2011-2" 400
"2011-3" 0
"2011-4" 0
"2011-5" 0
"2011-6" 0
"2011-7" 0
"2011-8" 0
"2011-9" 0
"2011-10" 0
"2011-11" 0
"2011-12" 267810.90625
