"date" "fpc NatStand" "fpc TrBE" "fpc TrBR" "fpc TeNE" "fpc TeBE" "fpc TeBS" "fpc BoNE" "fpc BoBS" "fpc BoNS" "fpc TrH" "fpc TeH" "fpc PoH"
"1982-1" 0.177999943494797 0.00234490348839217 0 4.60531581100961e-05 0.00149869418252635 0.00234391845116944 0 0 0 0 0.0313391246850907 0
"1983-1" 0.177999943494797 0.00233939046283188 0 4.65161894282968e-05 0.00188569528167429 0.00240148676507504 0 0 0 0 0.0426479222693326 0
"1984-1" 0.175999969244003 0.00343637167961486 0 6.47968490065567e-05 0.00356237960194045 0.00354372534814118 0 0 0 0 0.0824496578140588 0
"1985-1" 0.175999969244003 0.00373373431285429 0 6.89100344385667e-05 0.00496583133584755 0.00356292969311095 0 0 0 0 0.0904880699339738 0
"1986-1" 0.175999969244003 0.00326023628959526 0 5.39281586009214e-05 0.00515499319949714 0.00321954331164853 0 0 0 0 0.0634249376088132 0
"1987-1" 0.175999969244003 0.0043086835067106 0 6.07322278473746e-05 0.0077796896214104 0.0040156619385962 0 0 0 0 0.0764210677115491 0
"1988-1" 0.173999935388565 0.0037040772504518 0 4.10967960678336e-05 0.00645905642275846 0.00360139746598598 0 0 0 0 0.0466066262510996 0
"1989-1" 0.173999935388565 0.00256451945890979 0 5.46526323944995e-06 0.00656165420988997 0.00328237111799107 0 0 0 0 0.0372620544649123 0
"1990-1" 0.17199994623661 0.00323210022898077 0 1.09846754937761e-05 0.008248998581809 0.00431016421447336 0 0 0 0 0.0544451710271421 0
"1991-1" 0.168999925255775 0.00415748049846226 0 1.70204152993627e-05 0.0111775612122498 0.00550160478367945 0 0 0 0 0.0745358444413524 0
"1992-1" 0.166999951004982 0.00435612941322902 0 2.18934909004299e-05 0.0122444142389935 0.00496971811209718 0 0 0 0 0.0753894585920118 0
"1993-1" 0.16299994289875 0.00397294949329038 0 1.98372666338243e-05 0.0117977656594491 0.00510118911527202 0 0 0 0 0.0528551721485946 0
"1994-1" 0.15999998152256 0.00308116430224439 0 5.02775539789187e-06 0.00505908073175132 0.00319097869500387 0 0 0 0 0.022108082602357 0
"1995-1" 0.155999973416328 0.00302794716317506 0 9.19562091171916e-06 0.00637583276758519 0.00343699230544123 0 0 0 0 0.0225301248781049 0
"1996-1" 0.1509999781847 0.00378372530177831 0 1.15069770146235e-05 0.00927872040554006 0.00470477494613061 0 0 0 0 0.0289033161069718 0
"1997-1" 0.146999970078468 0.00495157826113851 0 1.53391593840262e-05 0.0103460827495737 0.00464009941543431 0 0 0 0 0.0421332264910004 0
"1998-1" 0.140999928116798 0.00388433092059534 0 4.22155988748032e-06 0.00811239621717252 0.00393225011925069 0 0 0 0 0.0322834580465114 0
"1999-1" 0.134999945759773 0.0030228902547641 0 7.5280364893882e-06 0.00382963394547522 0.00365152519634399 0 0 0 0 0.0201234373809738 0
"2000-1" 0.134999945759773 0.00334147293908824 0 1.02132322792282e-05 0.00431559545753468 0.00454277981092255 0 0 0 0 0.0229577439426027 0
"2001-1" 0.129999950528145 0.00448255059156583 0 1.27826252823655e-05 0.0060804239618073 0.00472142639639955 0 0 0 0 0.0370005842307455 0
"2002-1" 0.126999989151955 0.00495028496345223 0 1.3522788112796e-05 0.007112527131721 0.00499521781304468 0 0 0 0 0.0406972270117989 0
"2003-1" 0.122999973595142 0.00514670952936847 0 1.32614437223483e-05 0.00743729611269445 0.00517962783768258 0 0 0 0 0.0413971877040136 0
"2004-1" 0.118999965488911 0.00614633256761588 0 1.55350702610622e-05 0.0103398818338402 0.00670836645276091 0 0 0 0 0.0621943890088938 0
"2005-1" 0.115999944508076 0.0051049503849955 0 1.36434385420046e-05 0.00898024770174838 0.00508488297101325 0 0 0 0 0.0418674722896386 0
"2006-1" 0.115999944508076 0.00272021125513013 0 3.5932585724427e-06 0.00345009635001357 0.00351958341165158 0 0 0 0 0.0216380238137318 0
"2007-1" 0.115999944508076 0.00260241772164967 0 6.7154806927377e-06 0.00349873102722489 0.00356583854592192 0 0 0 0 0.021406607699003 0
"2008-1" 0.115999944508076 0.00327636443551411 0 9.32659568786024e-06 0.00521333507647942 0.00524783056268785 0 0 0 0 0.0288199956235039 0
"2009-1" 0.115999944508076 0.00406753145781386 0 1.09320373539345e-05 0.00599022332866614 0.00561313372550853 0 0 0 0 0.0290287835013197 0
"2010-1" 0.115999944508076 0.00485795715514942 0 1.33257807745975e-05 0.00700843046613198 0.00603054138122103 0 0 0 0 0.0367653000907082 0
"2011-1" 0.115999944508076 0.00293842007467952 0 3.51982584527916e-06 0.00474954048578888 0.00408002659703813 0 0 0 0 0.0194477017471405 0
